,Website,Type,Parent,Founded,Ticker,is_defunct,HQ,HQ State,HQ City,Net Worth,Industry,Products_and_Services,Subsidiaries,Aliases,People,Number of employees
EMC Corporation,dell.com,Subsidiary,['Dell Technologies'],1979,EMC,,"Round Rock, Texas, United States",Texas,Round Rock,XXLarge ($1B+),['Computer storage'],['See EMC products'],,,"['(', 'Roger Marino', 'Richard Egan', 'Jeff Clarke', 'Infrastructure Solutions Group', ' Dell EMC)']",
"IArchives, Inc.",iarchives.com,Private subsidiary of Ancestry.com,['Ancestry.com LLC'],1994,,True,"Lindon, Utah, United States",Utah,Lindon,,['Historical documents'],,,"['Automated Solutions, Inc.']","['Scott Christensen', 'David G. Norton', '(chief', 'vice president', 'Mark A. Kendell', 'general manager', 'Brian Hansen', 'Robert Wille', 'engineer']",
Vertica,vertica.com,,['OpenText'],2005,,,"Cambridge, MA, United States",Massachusetts,Cambridge,,"['Data warehousing', 'Database management']","['Vertica Analytics Database, Vertica SQL on Data Lake']",,,"['Mark Barrenechea', '( and', 'Andrew Palmer and Michael Stonebraker']",
The Hartford,thehartford.com,Public,,1810,HIG,,"Hartford, Connecticut, US",Connecticut,Hartford,XXLarge ($1B+),"['Insurance', 'Mutual funds']","['Group benefits', 'General liability insurance', 'Automobile insurance', 'Mutual funds', ""Workers' compensation"", 'Property insurance', 'Exchange-traded funds']",,,"['(Senior   & Controller)', 'Christopher J. Swift', 'Doug Elliot', '(  &', 'Beth A. Costello', 'Scott R. Lewis', '(    & )']","XXLarge (10,000+ Employees)"
Norwest Corporation,,Public,,1929,NOB,True,"Minneapolis, Minnesota, United States",Minnesota,Minneapolis,,['Financial services'],,,"['Norwest Bank', 'Northwest Bancorporation', 'Wells Fargo']",['Richard M. Kovacevich'],
Continental Resources,clr.com,Private company,,,CLR,,"Oklahoma City, Oklahoma, US",Oklahoma,Oklahoma City,XXLarge ($1B+),['Petroleum'],"['Natural Gas', 'Petroleum']",,['Shelly Dean Oil Co.'],"['Harold Hamm', 'Family LLC', 'John D. Hart', 'William B. Berry', 'Jack Stark']","Large (1,000-4,999 Employees)"
Black %26 Veatch,,Employee-Owned,,,,,"Overland Park, Kansas",Kansas,Overland Park,XXLarge ($1B+),"[' and consulting', 'Engineering, procurement, and construction']","['Asset management, consulting, data analytics, EPC and design build, operations, physical and cybersecurity, program and construction management, sustainability']",,,"['Timothy W. Triplett, Board Secretary, General Counsel', 'Patrick Hogan, Chief Client Officer', 'Mario Azar,   and', 'Michael Williams, Chief Financial Officer', 'Dave Hollowell,  , Connectivity & Commercial', 'Joy Johnson,  Chief Human Resources Officer', 'Irvin Bishop Jr., Chief Information Officer', 'Laszlo von Lazar,  , Energy & Process Industries', 'Mike Orth,  , Governments & Environment', 'Barry Clegg,  , Black & Veatch Operations', 'Andrea Bernica, Senior     and Chief of Staff', 'Hoe wai Cheong,  , Asia-Pacific & India']","XXLarge (10,000+ Employees)"
Savage Arms,savagearms.com,Subsidiaries,,1894,,,"Westfield, Massachusetts",Massachusetts,Westfield,,['Firearms'],"['Rifles, shotguns', 'Stevens Arms']",,,['Albert F. Kasper'],
AirNet Express,airnet.com,,,1974,,,"Rickenbacker International Airport, Franklin County, Ohio",Ohio,Franklin,,,,,,['John Dupuy'],
TGI Fridays,tgifridays.com,Private,,1965,,,"Dallas, Texas, US",Texas,Dallas,XXLarge ($1B+),"['Restaurants', 'Casual dining']","['salads', 'pasta', 'seafood', 'burgers', 'sandwiches', 'chicken', 'Steaks']",,['TGI Fridays'],"['TriArtisan Capital Advisors', 'Daniel R. Scoggin', 'Ray Blanchette', 'Alan Stillman and']","XXLarge (10,000+ Employees)"
